transition,source_dim,target_dim,edge_count,unique_sources,unique_targets,total_source_nodes,total_target_nodes,source_coverage,target_coverage,average_fan_out,average_fan_in,source_target_ratio
d0->d0,0,0,15,8,7,21,21,0.380952,0.333333,1.875,2.142857,1.142857
d0->d1,0,1,96,6,96,21,157,0.285714,0.611465,16,1,0.0625
d0->d2,0,2,32,3,32,21,69,0.142857,0.463768,10.666667,1,0.09375
d0->d3,0,3,4,3,4,21,15,0.142857,0.266667,1.333333,1,0.75
d0->d4,0,4,4,3,4,21,14,0.142857,0.285714,1.333333,1,0.75
d1->d0,1,0,17,17,9,157,21,0.10828,0.428571,1,1.888889,1.888889
d1->d1,1,1,454,63,149,157,157,0.401274,0.949045,7.206349,3.04698,0.422819
d1->d2,1,2,87,31,16,157,69,0.197452,0.231884,2.806452,5.4375,1.9375
d1->d3,1,3,58,31,9,157,15,0.197452,0.6,1.870968,6.444444,3.444444
d1->d4,1,4,12,6,2,157,14,0.038217,0.142857,2,6,3
d2->d0,2,0,0,0,0,69,21,0,0,0,0,0
d2->d1,2,1,12,12,8,69,157,0.173913,0.050955,1,1.5,1.5
d2->d2,2,2,101,14,65,69,69,0.202899,0.942029,7.214286,1.553846,0.215385
d2->d3,2,3,17,11,8,69,15,0.15942,0.533333,1.545455,2.125,1.375
d2->d4,2,4,17,11,8,69,14,0.15942,0.571429,1.545455,2.125,1.375
d3->d0,3,0,0,0,0,15,21,0,0,0,0,0
d3->d1,3,1,0,0,0,15,157,0,0,0,0,0
d3->d2,3,2,1,1,1,15,69,0.066667,0.014493,1,1,1
d3->d3,3,3,8,1,8,15,15,0.066667,0.533333,8,1,0.125
d3->d4,3,4,1,1,1,15,14,0.066667,0.071429,1,1,1
d4->d0,4,0,0,0,0,14,21,0,0,0,0,0
d4->d1,4,1,0,0,0,14,157,0,0,0,0,0
d4->d2,4,2,0,0,0,14,69,0,0,0,0,0
d4->d3,4,3,1,1,1,14,15,0.071429,0.066667,1,1,1
d4->d4,4,4,8,1,8,14,14,0.071429,0.571429,8,1,0.125
