node_id,partner_status,partner_id,partner_candidate_ids,signature_without_dual_equal,stored_edges_between_pair,semantic_op_dual_edges,involution_test,self_duality
14,UNIQUE_SIGNATURE_PARTNER,16,"[""16""]",true,"[{""id"":""7738"",""source_id"":""14"",""target_id"":""16"",""operator"":""snapshot_v6:0036"",""paths"":2,""source_signature"":{""kind"":""INTEGER"",""dim"":0,""recurrence_order"":0,""factor"":""—"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""INTEGER"",""dim"":0,""recurrence_order"":0,""factor"":""—"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7912"",""source_id"":""16"",""target_id"":""14"",""operator"":""snapshot_v6:0239"",""paths"":1,""source_signature"":{""kind"":""INTEGER"",""dim"":0,""recurrence_order"":0,""factor"":""—"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""INTEGER"",""dim"":0,""recurrence_order"":0,""factor"":""—"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
17,UNIQUE_SIGNATURE_PARTNER,13,"[""13""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
18,UNIQUE_SIGNATURE_PARTNER,21,"[""21""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
33,UNIQUE_SIGNATURE_PARTNER,32,"[""32""]",true,"[{""id"":""7771"",""source_id"":""32"",""target_id"":""33"",""operator"":""snapshot_v6:0078"",""paths"":15,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""},{""id"":""7960"",""source_id"":""33"",""target_id"":""32"",""operator"":""snapshot_v6:0318"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
37,UNIQUE_SIGNATURE_PARTNER,35,"[""35""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
38,UNIQUE_SIGNATURE_PARTNER,36,"[""36""]",true,[],[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
42,UNIQUE_SIGNATURE_PARTNER,41,"[""41""]",true,"[{""id"":""8001"",""source_id"":""41"",""target_id"":""42"",""operator"":""snapshot_v6:0376"",""paths"":3,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
47,UNIQUE_SIGNATURE_PARTNER,46,"[""46""]",true,"[{""id"":""8035"",""source_id"":""46"",""target_id"":""47"",""operator"":""snapshot_v6:0419"",""paths"":3,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""2pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
53,UNIQUE_SIGNATURE_PARTNER,51,"[""51""]",true,"[{""id"":""8065"",""source_id"":""51"",""target_id"":""53"",""operator"":""snapshot_v6:0457"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""D"",""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""D"",""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
55,UNIQUE_SIGNATURE_PARTNER,52,"[""52""]",true,"[{""id"":""8080"",""source_id"":""52"",""target_id"":""55"",""operator"":""snapshot_v6:0476"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""N"",""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":null,""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":""N"",""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
62,UNIQUE_SIGNATURE_PARTNER,61,"[""61""]",true,"[{""id"":""7997"",""source_id"":""61"",""target_id"":""62"",""operator"":""snapshot_v6:0371"",""paths"":2,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S+a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
68,UNIQUE_SIGNATURE_PARTNER,66,"[""66""]",true,"[{""id"":""8027"",""source_id"":""66"",""target_id"":""68"",""operator"":""snapshot_v6:0409"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":1,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
70,UNIQUE_SIGNATURE_PARTNER,67,"[""67""]",true,"[{""id"":""8050"",""source_id"":""67"",""target_id"":""70"",""operator"":""snapshot_v6:0438"",""paths"":1,""source_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":0},""target_signature"":{""kind"":""BUNDLE"",""dim"":1,""recurrence_order"":0,""factor"":""pi"",""symmetry"":""S-a"",""sq"":null,""anti"":null,""multiplicity"":2,""boundary_condition"":null,""occupancy"":null,""dual"":1},""provenance_class"":""SNAPSHOT_IDENTIFIER_ONLY""}]",[],NOT_VERIFIABLE_FROM_SNAPSHOT,NOT_EVALUATED
