rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
1,121,CYCLE,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,31,31,91,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""76"",""77"",""79"",""80"",""81"",""82"",""85"",""86"",""88"",""89"",""94"",""95"",""97"",""98"",""103"",""104"",""105"",""107"",""109"",""110"",""111"",""112"",""122"",""124"",""125"",""130"",""131"",""133"",""134"",""135""]","[""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
2,130,CYCLE,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,31,31,91,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""76"",""77"",""79"",""80"",""81"",""82"",""85"",""86"",""88"",""89"",""94"",""95"",""97"",""98"",""103"",""104"",""105"",""107"",""109"",""110"",""111"",""112"",""121"",""122"",""124"",""125"",""131"",""133"",""134"",""135""]","[""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
3,133,CYCLE,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,17,17,52,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""103"",""104"",""105"",""107"",""109"",""110"",""111"",""112"",""121"",""122"",""124"",""125"",""130"",""131"",""134"",""135""]","[""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
4,46,BUNDLE,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,15,15,267,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""32"",""33"",""35"",""36"",""41"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135""]","[""BUNDLE"",""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅""]","[""∅"",""S-a"",""S+a""]"
5,271,PRODUCT,2,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,15,15,267,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""257"",""258"",""260"",""261"",""266""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅""]","[""∅"",""S-a"",""S+a""]"
6,67,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,14,14,265,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""51"",""52"",""61"",""66"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135""]","[""BUNDLE"",""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
7,292,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,14,14,265,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""276"",""277"",""286"",""291""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
8,322,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,14,14,112,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""271"",""291"",""292"",""316""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2"",""3""]","[""∅""]","[""∅"",""S-a""]"
9,41,BUNDLE,1,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,13,13,227,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""32"",""33"",""35"",""36"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125""]","[""BUNDLE"",""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅""]","[""∅"",""S+a""]"
10,266,PRODUCT,2,VARIANT,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,13,13,227,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""257"",""258"",""260"",""261""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅""]","[""∅"",""S+a""]"
