rank,id,kind,dim,verdict,classification,semantic_risk,semantic_risk_flags,root_classes,root_diversity,unique_parents,parent_signature_diversity,paths,provenance_quality,parent_ids,parent_kinds,parent_dimensions,parent_boundary_conditions,parent_symmetry_classes
1,67,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,14,14,265,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""51"",""52"",""61"",""66"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135""]","[""BUNDLE"",""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
2,292,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,14,14,265,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""276"",""277"",""286"",""291""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
3,322,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,14,14,112,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""271"",""291"",""292"",""316""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2"",""3""]","[""∅""]","[""∅"",""S-a""]"
4,61,BUNDLE,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,275,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""51"",""52"",""66"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125""]","[""BUNDLE"",""CYCLE"",""SYMMETRY""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
5,286,PRODUCT,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,275,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""276"",""277"",""291""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
6,321,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,100,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""266"",""286"",""316""]","[""CYCLE"",""PRODUCT"",""SYMMETRY""]","[""0"",""1"",""2"",""3""]","[""∅""]","[""∅"",""S+a""]"
7,327,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,12,12,100,SNAPSHOT_IDENTIFIER_ONLY,"[""94"",""95"",""97"",""98"",""130"",""131"",""133"",""134"",""135"",""271"",""291"",""292""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S-a""]"
8,325,PRODUCT,3,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,10,10,95,SNAPSHOT_IDENTIFIER_ONLY,"[""85"",""86"",""88"",""89"",""121"",""122"",""124"",""125"",""266"",""286""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S+a""]"
9,220,WEIGHT,1,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""cross_boundary_conditions"",""cross_symmetry_classes"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,9,9,21,SNAPSHOT_IDENTIFIER_ONLY,"[""23"",""61"",""121"",""122"",""124"",""125"",""210"",""211"",""225""]","[""BUNDLE"",""CYCLE"",""SYMMETRY"",""WEIGHT""]","[""0"",""1""]","[""∅"",""D"",""N""]","[""∅"",""S-a"",""S+a""]"
10,243,BUNDLE,2,UNMATCHED,REQUIRES_PROVENANCE,HIGH,"[""heterogeneous_parent_kinds"",""cross_dimension_parents"",""broad_root_mix"",""very_high_parent_signature_diversity""]","[""CARRIER +1"",""CARRIER -1"",""RECURRENCE"",""SYMMETRY"",""BOUNDCOND D"",""BOUNDCOND N""]",6,8,8,80,SNAPSHOT_IDENTIFIER_ONLY,"[""130"",""131"",""133"",""134"",""135"",""271"",""291"",""292""]","[""CYCLE"",""PRODUCT""]","[""1"",""2""]","[""∅""]","[""S-a""]"
